date,hour,range_bps,peak_ms_hl_binance,peak_corr_hl_binance,index_hl_binance,n_hl_binance,peak_ms_okx_binance,peak_corr_okx_binance,index_okx_binance,n_okx_binance
2026-07-22,13,63.7,600.0,0.6151,0.5973,9142,25.0,0.2975,0.0649,28249
2026-07-22,14,96.3,575.0,0.5834,0.5753,10317,25.0,0.301,0.0549,32970
2026-07-22,15,50.8,625.0,0.5276,0.6268,8904,-25.0,0.2148,-0.0293,22484
2026-07-22,16,70.7,575.0,0.6911,0.7188,7666,25.0,0.2619,0.0895,23427
2026-07-22,17,51.5,550.0,0.6612,0.5051,6692,25.0,0.3245,0.0486,15636
2026-07-22,18,55.5,575.0,0.555,0.5377,7893,25.0,0.3217,0.1573,13311
2026-07-22,19,42.4,550.0,0.5828,0.6363,6859,25.0,0.3312,0.1611,8926
2026-07-22,20,30.5,575.0,0.8646,0.5602,5458,25.0,0.3482,0.1703,7400
2026-07-22,21,36.4,600.0,0.6849,0.7419,5024,25.0,0.3197,0.301,6446
2026-07-22,22,22.3,575.0,0.7366,0.6799,4934,25.0,0.4173,0.1171,5649
2026-07-22,23,47.9,600.0,0.5721,0.6187,5055,25.0,0.3572,0.0652,8125
2026-07-23,0,42.1,525.0,0.5384,0.6305,5786,25.0,0.2083,0.1262,15760
2026-07-23,1,72.4,575.0,0.6786,0.5196,6471,25.0,0.3987,0.055,17184
2026-07-23,2,30.2,525.0,0.663,0.4876,5639,25.0,0.3525,0.1436,11867
2026-07-23,3,37.9,575.0,0.6179,0.5791,5369,25.0,0.3032,0.1129,11702
2026-07-23,4,22.7,525.0,0.6394,0.4484,5375,25.0,0.404,0.1613,10003
2026-07-23,5,34.9,600.0,0.5629,0.426,4678,25.0,0.2933,0.015,9805
2026-07-23,7,67.4,625.0,0.2267,0.7438,6465,25.0,0.075,0.0437,22048
2026-07-23,8,38.4,600.0,0.6316,0.5985,6169,25.0,0.2331,0.1369,13410
2026-07-23,9,24.2,575.0,0.4969,0.6578,5329,25.0,0.28,0.0099,11140
2026-07-23,10,34.1,600.0,0.5325,0.5845,4961,25.0,0.3202,0.1515,9760
2026-07-23,11,31.7,550.0,0.5713,0.5727,5053,0.0,0.2744,0.0904,9004
2026-07-23,12,91.4,525.0,0.3686,0.6368,8620,25.0,0.1304,0.0263,34073
2026-07-23,13,54.9,650.0,0.3166,0.7002,9069,25.0,0.1144,-0.0198,37885
2026-07-23,14,59.7,550.0,0.6782,0.6001,7843,25.0,0.3327,-0.0173,29448
2026-07-23,15,46.2,550.0,0.5441,0.7401,9006,25.0,0.2626,0.0013,27467
2026-07-23,16,37.7,550.0,0.5506,0.5464,6224,25.0,0.3163,0.0607,15120
2026-07-23,17,36.3,650.0,0.614,0.6582,5225,25.0,0.2463,0.1439,12380
2026-07-23,18,42.2,675.0,0.6865,0.6091,5063,25.0,0.3327,0.1333,10891
2026-07-23,19,36.9,550.0,0.6335,0.6359,4346,25.0,0.3258,0.2854,9376
2026-07-23,20,56.1,550.0,0.3426,0.7632,5565,25.0,0.2239,0.2008,10885
2026-07-23,21,31.6,700.0,0.6647,0.7696,4543,25.0,0.3385,0.1975,8144
2026-07-23,22,31.0,575.0,0.6606,0.5845,4670,25.0,0.3115,0.3002,8384
2026-07-23,23,25.6,600.0,0.5904,0.5463,3535,25.0,0.2991,0.2015,7453
2026-07-24,0,55.6,525.0,0.5683,0.5891,4907,-25.0,0.2345,-0.0256,15133
2026-07-24,1,36.2,550.0,0.8736,0.4617,3752,25.0,0.3457,0.1546,14781
2026-07-24,2,41.7,625.0,0.7764,0.5153,3542,25.0,0.339,0.1323,12386
2026-07-24,3,59.6,550.0,0.4782,0.4238,5636,25.0,0.2531,0.1485,20668
2026-07-24,4,29.7,625.0,0.6272,0.515,3765,25.0,0.2879,0.1853,11646
2026-07-24,5,23.1,600.0,0.7823,0.6073,3539,25.0,0.3709,0.1919,7896
2026-07-24,6,37.7,625.0,0.6599,0.527,3762,25.0,0.2717,0.1693,11061
2026-07-24,9,57.0,625.0,0.5441,0.5284,5943,25.0,0.2641,0.1145,22038
2026-07-24,10,40.4,950.0,0.5851,0.5772,5420,25.0,0.3188,0.1246,12029
2026-07-24,11,38.3,525.0,0.6748,0.6276,4906,0.0,0.2817,0.0865,12047
2026-07-24,12,61.2,600.0,0.7599,0.6588,4339,25.0,0.2965,0.2098,13295
2026-07-24,13,135.9,525.0,0.3907,0.7968,11398,25.0,0.1608,0.1063,56486
2026-07-24,14,73.4,675.0,0.3157,0.7374,10005,25.0,0.1252,-0.024,46434
2026-07-24,15,74.5,575.0,0.6715,0.71,8519,25.0,0.2054,0.0158,31256
2026-07-24,16,50.4,600.0,0.564,0.553,5554,25.0,0.2547,0.0121,16509
2026-07-24,17,47.2,575.0,0.7386,0.5914,5313,25.0,0.3052,0.1221,12242
2026-07-24,18,26.3,625.0,0.6399,0.6034,5148,25.0,0.2866,0.1127,9663
2026-07-24,19,26.3,625.0,0.6328,0.6038,5099,25.0,0.3776,0.0766,8029
2026-07-24,20,25.7,550.0,0.5573,0.4642,4036,25.0,0.3517,0.2559,6732
2026-07-24,21,14.2,525.0,0.8737,0.6629,3137,25.0,0.392,0.2669,5943
2026-07-24,22,14.7,750.0,0.428,0.6259,3121,25.0,0.3044,0.263,4473
2026-07-24,23,6.5,550.0,0.551,0.5152,2762,0.0,0.2955,0.3191,4174
2026-07-25,0,21.7,875.0,0.407,0.6369,3307,25.0,0.1971,0.6443,6519
2026-07-25,1,23.7,500.0,0.6709,0.4558,3363,25.0,0.2731,0.2336,9031
2026-07-25,2,12.2,700.0,0.7656,0.7629,2935,25.0,0.2954,0.0619,5900
2026-07-25,3,12.7,500.0,0.5218,0.4311,3015,-25.0,0.3176,0.2457,4802
2026-07-25,4,18.4,575.0,0.3911,0.6664,3122,25.0,0.2645,-0.0066,5810
2026-07-25,5,34.6,500.0,0.7467,0.6004,2741,25.0,0.3114,0.2268,6799
2026-07-25,6,17.3,550.0,0.6624,0.622,3441,25.0,0.2714,0.1649,6492
2026-07-25,9,31.3,625.0,0.4697,0.3703,3680,25.0,0.3411,0.176,8167
2026-07-25,10,12.8,600.0,0.394,0.5965,3581,-25.0,0.3092,-0.1448,6012
2026-07-25,11,9.8,475.0,0.4457,0.2712,3775,-25.0,0.3514,0.1052,5861
2026-07-25,12,14.5,575.0,0.5347,0.3342,1717,25.0,0.3281,-0.245,5965
2026-07-25,13,23.6,525.0,0.3853,0.4493,2527,-25.0,0.2138,0.0538,10130
2026-07-25,14,15.1,525.0,0.5302,0.712,2424,25.0,0.2775,-0.0069,8045
2026-07-25,15,15.1,550.0,0.3407,0.4235,2761,25.0,0.3047,0.2929,9092
2026-07-25,16,19.5,475.0,0.4926,0.3262,2162,25.0,0.3645,0.2403,6242
2026-07-25,17,22.4,550.0,0.5118,0.7367,3055,25.0,0.2535,0.222,6958
2026-07-25,18,30.2,500.0,0.5288,0.5246,3854,50.0,0.1759,0.1489,8778
2026-07-25,19,9.3,775.0,0.5263,0.5645,2813,25.0,0.3618,0.1481,4768
2026-07-25,20,14.3,1500.0,0.4903,0.3264,2687,25.0,0.3195,-0.0152,5222
2026-07-25,21,25.8,600.0,0.6016,0.6767,2486,0.0,0.2029,0.0877,6135
2026-07-25,22,14.0,675.0,0.739,0.4311,1935,25.0,0.3232,0.2346,4187
2026-07-25,23,8.5,500.0,0.4242,0.207,1827,25.0,0.1878,-0.1395,4350
2026-07-26,0,24.2,575.0,0.4684,0.3755,2823,25.0,0.2175,0.1828,9460
